pais,tipo_inmueble,dormitorios,ventanas,habitantes_mayores,habitantes_menores,aire_acondicionado,calefaccion_electrica,agua_caliente_electrica,secarropas_electrico,horno_electrico,refrigerador,freezer,tv,tv_frecuencia,lavado_frecuencia,cantidad_equipos,uso_horario_pico,horas_alto_consumo,tarifa_kwh,consumo_kwh
CO,Casa,3,6,3,3,0,0,0,0,1,1,0,1,28.784503013072726,2.9251111335206206,3,0,0.0,820.0,226.6
SV,Casa,5,12,4,0,0,0,1,0,0,1,1,2,11.755187843087604,3.9758891817370516,5,0,4.0,0.19,409.1
DO,Departamento,4,11,5,1,1,0,0,0,0,1,0,1,34.94941311234396,1.7012533264601353,3,1,4.4,12.5,343.2
PY,Departamento,3,7,3,0,1,0,0,1,1,1,0,2,15.727473536634658,3.2378095366150714,6,1,4.4,185.0,344.2
JM,Casa,2,3,2,0,0,1,0,1,0,1,0,1,19.20281789093601,0.46899834906295546,4,1,3.3,0.35,295.4
PE,Departamento,5,11,7,0,0,1,1,0,1,1,0,2,22.32676211354704,3.032778218285164,6,1,7.3,0.62,638.0
CO,Casa,3,10,1,0,1,1,1,0,1,1,0,1,26.351509468144044,2.66666595435184,6,0,11.7,820.0,567.3
JM,Departamento,3,3,1,2,1,0,0,0,1,1,0,1,9.643462471741884,0.48797558294346466,4,1,4.4,0.35,252.4
MX,Casa,2,4,3,1,0,0,0,0,1,1,0,2,19.59237473864566,2.017818456855914,4,0,0.0,1.2,197.8
CO,Casa pareada,2,8,6,1,1,0,1,0,1,1,0,1,16.168126788640123,5.192166438363303,5,1,8.4,820.0,590.3
CL,Departamento,1,3,3,0,1,1,1,0,1,1,0,2,11.218476330712493,2.498814838948782,7,1,11.7,150.0,625.6
HN,Departamento,1,4,1,0,0,0,0,0,0,1,0,0,0.0,3.3637451869068324,1,0,0.0,3.5,80.4
PY,Casa,1,4,1,0,0,0,0,0,0,1,1,1,12.709161622563915,2.018780339898305,3,0,0.0,185.0,125.4
ES,Casa pareada,3,12,4,2,1,0,0,1,1,1,1,3,10.131429215717626,2.6320832310868356,8,1,4.4,0.27,446.5
NI,Casa,1,1,1,0,1,1,1,1,0,1,0,1,20.531553475778672,3.000126589637121,6,0,11.7,7.5,576.2
PR,Casa pareada,1,7,1,0,0,1,1,0,1,1,1,3,2.554140130258073,4.391157722337271,8,0,7.3,0.22,493.5
ES,Casa móvil,5,12,6,2,1,1,0,0,1,1,0,1,19.386756541711527,1.4206522339440766,5,1,7.7,0.27,559.0
EC,Otro,4,11,6,1,1,0,0,1,0,1,0,1,4.279597443467594,2.899570240652699,4,1,4.4,0.1,405.4
HN,Departamento,4,12,6,1,0,0,0,0,0,1,0,4,25.909063227933547,0.6276084008190868,5,0,0.0,3.5,280.5
PE,Casa,2,5,5,0,1,1,0,0,1,1,0,4,22.023061918311935,4.26657778572798,8,1,7.7,0.62,542.5
US,Departamento,5,14,5,2,0,1,0,0,1,1,0,1,0.0,3.0815303780855734,4,1,3.3,0.16,407.8
BR,Departamento,1,4,3,0,1,1,1,0,1,1,0,1,18.824578326718697,4.24427856303611,6,1,11.7,0.75,630.9
GT,Departamento,4,8,2,5,1,0,0,0,0,1,0,1,16.41983311925571,4.205377529067903,3,1,4.4,1.7,316.1
JM,Casa móvil,1,3,1,0,0,1,1,1,0,1,0,2,23.28662002282481,3.5428827808932652,6,0,7.3,0.35,470.9
PR,Departamento,2,6,4,0,0,1,1,0,1,1,0,2,23.139082114575537,1.7499467910758915,6,1,7.3,0.22,543.2
ES,Departamento,2,9,1,0,1,0,0,0,0,1,0,3,30.638515327343583,1.287092660786394,5,0,4.4,0.27,232.1
CU,Departamento,2,4,5,1,0,1,1,0,1,1,0,1,29.35547125465149,0.25289087367731433,5,1,7.3,0.09,573.9
CL,Otro,4,8,3,3,0,0,1,0,1,1,0,1,13.116277177692407,4.346723112615822,4,0,4.0,150.0,406.0
JM,Casa,3,10,3,0,0,0,0,1,1,1,1,1,26.374709026511216,2.1918430235733855,5,0,0.0,0.35,262.1
PA,Casa,1,3,2,0,0,0,1,0,0,1,0,2,22.964180008086593,6.052609954096601,4,0,4.0,0.17,322.9
